2005;10505
2006;6596
2007;9503
2008;14440
2009;20809
2010;15670
2011;23500
2012;45900
2013;37639
2014;54609
2015;42607
2016;48064
2017;62410
2018;78991
2019;120529
2020;147017
2021;120904
2022;95074
